,pre,rec,spe,f1,geo,iba,sup
high_risk,0.06278855032317636,0.918918918918919,0.9407506858910747,0.11754537597234227,0.929770726174608,0.8625863046252817,74.0
low_risk,0.9996278377372534,0.9407506858910747,0.918918918918919,0.9692960033681172,0.929770726174608,0.866360901877234,17131.0
avg_pre,0.9955984214473003,0.9955984214473003,0.9955984214473003,0.9955984214473003,0.9955984214473003,0.9955984214473003,0.9955984214473003
avg_rec,0.9406567858180761,0.9406567858180761,0.9406567858180761,0.9406567858180761,0.9406567858180761,0.9406567858180761,0.9406567858180761
avg_spe,0.9190128189919174,0.9190128189919174,0.9190128189919174,0.9190128189919174,0.9190128189919174,0.9190128189919174,0.9190128189919174
avg_f1,0.9656325598094259,0.9656325598094259,0.9656325598094259,0.9656325598094259,0.9656325598094259,0.9656325598094259,0.9656325598094259
avg_geo,0.9297707261746081,0.9297707261746081,0.9297707261746081,0.9297707261746081,0.9297707261746081,0.9297707261746081,0.9297707261746081
avg_iba,0.866344667050344,0.866344667050344,0.866344667050344,0.866344667050344,0.866344667050344,0.866344667050344,0.866344667050344
total_support,17205.0,17205.0,17205.0,17205.0,17205.0,17205.0,17205.0
